1,2,1,2,2,2,0,1,0,1.0
2,2,0,0,0,0,1,1,0,-0.0433
2,2,2,0,2,1,1,0,1,1.0
2,1,1,0,2,2,1,1,2,1.0
2,1,0,2,2,0,1,1,0,-1.0
2,2,1,0,2,0,0,1,1,-0.16
1,2,2,2,2,1,1,1,2,0.75
2,1,2,1,2,0,2,1,1,1.0
2,2,1,0,2,2,1,0,1,-0.021043
1,2,1,2,1,1,0,2,2,-1.0
2,2,0,1,0,0,1,1,2,0.699998665214
2,2,2,0,0,1,0,1,1,1.0
2,1,1,0,1,2,0,2,0,-0.010225
2,0,1,0,2,1,0,0,2,1.0
2,1,2,2,2,1,1,1,2,1.0
2,2,0,0,1,1,0,0,0,-0.0382091227828
2,0,2,1,2,1,0,0,1,0.7
2,1,2,0,2,0,2,1,1,1.0
2,2,1,0,1,1,2,1,2,-1.0
2,0,1,2,1,2,2,1,1,1.0
2,0,0,0,2,2,1,0,1,-0.0677141050727
2,0,0,1,1,2,0,0,0,0.419882162755
2,2,0,0,1,0,1,2,1,-0.037
2,0,1,2,1,1,0,2,0,0.53
1,2,2,0,2,0,0,1,1,-1.0
2,1,2,0,0,1,0,0,0,0.36324135616
1,2,2,0,0,2,1,1,0,-1.0
1,2,2,0,2,2,1,0,1,-1.0
2,1,0,1,1,2,0,2,0,0.525
2,0,1,2,2,0,1,0,1,-0.3686059818
2,1,2,1,1,0,0,0,2,-1.0
2,2,0,2,1,0,1,1,0,0.0
1,2,1,2,2,2,1,0,1,1.0
2,1,2,2,0,0,1,1,0,-1.0
1,2,2,2,1,2,1,1,0,-1.0
2,0,1,2,1,0,2,0,1,1.0
2,0,2,0,1,0,1,1,2,-1.0
2,1,1,2,2,1,0,2,0,-1.0
2,1,1,2,0,2,1,1,2,-1.0
2,0,0,0,0,0,1,2,1,0.289140704087
2,2,1,2,0,0,0,1,1,-1.0
2,1,2,0,0,2,0,1,1,-1.0
2,0,1,0,1,2,0,0,0,-0.00697707845425
2,1,2,0,2,0,1,1,0,-0.279413657591
2,1,2,1,2,1,2,0,1,1.0
0,0,0,0,2,0,0,0,0,0.311479353505
2,1,2,2,0,1,0,1,0,-0.1
1,2,0,1,1,0,0,2,2,-0.35226269593
1,2,2,0,2,1,2,1,1,1.0
2,0,0,0,0,1,0,0,0,0.41614802259
1,2,1,1,1,0,2,2,2,1.0
2,1,2,0,2,1,0,0,0,0.528524020052
2,2,0,0,0,1,1,2,1,-1.0
2,1,2,1,1,2,0,0,0,-0.35298861483
2,1,2,1,2,2,1,1,0,-1.0
2,2,2,1,0,0,0,1,1,1.0
2,2,1,0,1,0,0,0,0,-1.0
1,2,2,2,0,0,0,1,1,-1.0
1,2,2,1,2,1,0,2,1,1.0
2,2,1,2,0,0,1,0,1,-1.0
1,2,0,2,2,0,0,1,1,-1.0
1,2,0,2,0,2,1,1,0,-0.0369022036018
1,2,0,2,2,2,1,0,1,1.0
2,2,0,0,2,1,0,1,0,0.7
2,0,1,0,1,1,2,0,2,-0.221725342137
2,1,2,2,1,2,1,0,1,-1.0
2,0,0,0,0,2,1,1,0,-0.1
2,0,1,1,2,2,1,1,2,1.0
2,1,2,0,2,0,0,0,1,0.489034819119
1,2,2,1,2,0,0,1,0,-0.121434913821
2,2,0,2,1,1,1,0,0,-0.012822807817
2,2,1,1,2,2,2,1,1,0.75
1,2,2,0,1,0,1,0,2,0.0636611479719
2,1,1,2,0,2,0,0,1,0.7
1,2,1,0,1,2,2,1,2,0.75
2,1,2,0,2,1,0,1,0,0.7
2,0,0,0,2,0,1,1,2,1.0
1,2,2,2,0,1,2,1,1,-1.0
2,1,2,1,2,2,2,1,1,1.0
1,2,0,2,0,0,1,1,2,0.50027182434
1,2,0,2,2,1,2,1,1,-1.0
2,0,1,2,1,1,0,0,2,-0.33097483
2,0,0,0,0,0,1,0,0,0.359236975861
2,2,1,1,2,1,2,0,0,-0.048257047
2,2,1,0,2,0,1,1,2,1.0
2,0,2,1,1,2,1,0,0,0.651482442462
2,1,2,1,0,2,1,1,2,1.0
2,2,1,1,2,0,0,0,1,-0.163
1,2,1,1,2,2,2,1,2,0.75
1,2,2,1,2,2,2,1,1,1.0
1,2,2,2,1,1,0,1,2,0.75
2,2,1,1,1,2,0,2,1,-1.0
2,2,0,0,0,1,1,1,2,0.699999942542
2,2,1,2,1,2,0,1,1,-1.0
2,2,0,0,1,0,2,1,1,0.699999998584
2,2,0,0,2,0,1,1,0,-0.0956583455354
2,2,2,0,0,1,1,0,1,1.0
1,2,1,2,2,1,1,2,0,1.0
1,2,2,1,2,1,2,0,0,1.0
2,1,1,2,1,2,2,0,1,1.0
2,2,2,0,1,1,1,0,0,1.0
2,1,2,2,2,0,1,1,0,-0.00582244690177
1,2,1,0,1,2,0,0,2,-0.0191108653609
1,2,0,2,1,2,1,0,0,-0.3196
2,1,1,2,2,1,1,2,0,-1.0
1,2,2,1,2,0,0,0,1,-0.1
1,2,0,1,2,2,0,0,0,-0.09559
2,2,0,1,0,2,0,1,1,-1.0
2,2,1,0,2,1,0,0,0,-0.1
2,0,1,1,2,1,2,0,0,-0.00549452
2,0,2,0,2,0,1,0,1,-0.1
2,0,2,0,0,0,0,1,1,-0.0547165422566
2,1,0,0,2,0,1,2,1,0.525
1,2,0,1,2,2,2,0,1,0.133
1,2,1,2,2,1,2,0,0,-1.0
2,2,1,1,1,0,2,0,0,-0.215448650886
2,0,1,1,0,1,0,2,2,0.0
2,0,0,1,2,0,0,0,0,0.418500739116
1,2,0,1,1,2,0,0,2,-1.0
2,2,2,1,2,1,0,1,1,1.0
2,1,0,2,2,0,0,1,1,-1.0
2,2,2,1,2,1,2,1,1,1.0
1,2,1,2,2,0,0,0,1,0.347423087853
1,2,2,2,2,1,0,1,1,-1.0
2,2,1,0,0,2,0,1,1,-0.19
2,1,2,2,0,0,0,1,1,-0.359962200101
2,2,1,1,1,0,2,1,2,-1.0
1,2,2,0,1,0,1,2,0,-1.0
1,2,2,1,1,2,2,1,0,-1.0
2,1,2,0,1,0,2,0,1,-0.07
2,0,2,0,0,1,0,0,1,0.673696811323
2,2,0,1,2,0,2,1,1,0.622402200434
2,2,1,1,1,2,2,1,0,0.75
2,0,1,0,0,2,1,2,1,-0.00500798804047
2,2,1,1,1,2,0,0,0,-0.238458656189
2,0,1,0,2,0,0,0,0,0.421979142298
2,2,0,1,0,0,0,1,0,0.490542525261
2,2,0,1,1,2,0,0,1,0.644217269044
2,1,2,2,2,1,0,1,0,0.7
2,2,1,1,2,0,2,1,1,-1.0
